scmp.com,1504,41470000,232,2.15,63.69,32.8,5.27,46.95,13.83,1.09,0.05
time.com,1862,37340000,56,1.62,79.5,20.73,3.23,64.31,10.12,1.46,0.15
metoffice.gov.uk,3160,18190000,106,3.78,38.86,77.38,0.21,21.13,0.54,0.75,0
sueddeutsche.de,1297,48130000,142,2.14,64.01,50.31,2.34,37.7,8.47,0.98,0.2
mainichi.jp,1422,47880000,67,1.66,72.1,33.86,21.85,34.96,9.08,0.12,0.14
washingtonexaminer.com,4163,19160000,68,1.58,77.04,22.41,21.25,42.25,13.15,0.91,0.03
foxbusiness.com,2323,30470000,286,1.9,69.36,17.31,55.34,20.86,5.01,1.44,0.05
newsweek.com,1303,56560000,41,1.31,82.84,12.83,3.07,67.53,16.2,0.24,0.13
smh.com.au,2348,28470000,256,2.44,59.67,57.45,2.26,28.35,11.43,0.47,0.03
hollywoodreporter.com,2937,17910000,68,3.18,73.77,21.14,8.1,55.39,14.5,0.74,0.13
medscape.com,2417,24820000,150,2.47,62.37,26.13,1.57,66.04,3.74,2.47,0.05
ladepeche.fr,1577,37530000,162,2.35,68.46,27.68,1.66,63.3,6.24,1.1,0.03
ctvnews.ca,882,73790000,148,1.9,58.57,29.51,5.36,47.33,17.24,0.54,0.02
ft.com,1445,45680000,123,1.93,70.63,45.48,3.58,39.08,10.53,1.23,0.09
thetimes.co.uk,2541,27600000,128,1.9,73.87,39.31,5.42,40.33,13.41,0.94,0.59
inc.com,3567,20810000,74,1.67,72.27,16.85,3.29,74.02,5.28,0.5,0.06
variety.com,4127,18770000,48,1.57,77.62,19.87,11.58,51.63,15.94,0.85,0.13
aljazeera.com,1344,50500000,111,1.73,66.08,31.55,1.94,60.08,5.91,0.5,0.02
blastingnews.com,1933,37290000,63,1.53,68.77,7.58,0.75,80.16,11.32,0.15,0.04
nationalgeographic.com,2840,21460000,118,2.38,72.65,27.82,4.79,53.76,11.02,2.47,0.14
newyorker.com,3091,24080000,90,1.71,72.04,38.55,5.65,34.65,17.23,3.56,0.36
irishtimes.com,2569,26420000,115,2.16,64.22,35.87,1.94,51.71,9.55,0.88,0.04
newspapers.com,3233,6590000,481,24.05,43.25,33.29,31.68,31.53,1.73,1.1,0.68
alarabiya.net,2380,30650000,100,1.79,68.81,45.48,4.41,38.75,10.29,1.06,0.01
financialexpress.com,4642,31190000,80,1.56,82.87,17.63,1.36,74.29,5.45,1.13,0.14
aftenposten.no,4343,18260000,194,2.27,52.33,71.12,3.93,16.48,8.18,0.27,0.02
wired.com,3180,23900000,136,1.57,79.25,24.15,4.88,59.04,9.95,1.9,0.08
dn.se,2703,24960000,274,2.92,46.31,78.07,4.26,11.25,5.91,0.48,0.03
euronews.com,2648,26600000,293,1.86,69.06,45.59,2.79,40.21,10.04,1.19,0.18
nj.com,2801,23300000,126,2.36,61.47,39.05,3.17,45.8,11.17,0.7,0.11
chicagotribune.com,2468,27650000,251,2.01,69.21,29.73,3.59,53.4,10.19,2.91,0.18
freep.com,4180,14750000,429,3.1,57.61,48.18,6.81,26.48,16.21,2.23,0.08
theglobeandmail.com,2921,24480000,150,2.05,65.94,38.65,3.06,46.17,10.87,1.19,0.06
mathrubhumi.com,4181,15390000,236,3.48,36.65,71.99,0.2,23.51,3.33,0.94,0.03
gazetadopovo.com.br,5395,13930000,135,1.87,70.81,30.88,0.99,57.43,9.56,0.87,0.27
haaretz.co.il,4301,11460000,1097,5.77,48.75,59.62,2.08,23.55,8.65,5.96,0.14
theage.com.au,3827,18680000,342,2.82,53.81,73.32,1.55,15.48,9.07,0.55,0.03
nzz.ch,3209,21900000,155,2.23,61.51,59.61,3.34,17.8,18.77,0.33,0.15
lesechos.fr,2754,22800000,293,2.49,70.52,45.06,1.94,43.82,7.62,1.47,0.08
liberation.fr,3033,24460000,108,1.72,73.15,35.49,3.31,48.86,11.31,0.98,0.04
bizjournals.com,5439,12950000,79,2.07,60.11,30.46,13.25,45.55,6.59,4.13,0.02
salon.com,4240,19970000,74,1.41,77.87,32.33,4.6,44.42,18.2,0.37,0.08
theconversation.com,3130,25350000,68,1.44,80.84,23.25,4.76,62.97,7.3,1.67,0.04
zougla.gr,5757,9670000,510,4.47,40.58,64.54,8.64,20.39,5.2,1.23,0
economist.com,4545,15130000,118,2.17,68.89,42.45,3.41,33.99,16.81,3.22,0.13
