google.com,54.260000,44.200000,37.320000,advertising
doubleclick.net,54.180000,5.420000,27.720000,advertising
facebook.com,43.220000,53.960000,46.510000,advertising
facebook.net,30.330000,33.820000,13.130000,advertising
googlesyndication.com,20.190000,33.090000,10.710000,advertising
google.de,15.500000,0.020000,0.020000,advertising
googleadservices.com,15.330000,2.030000,7.620000,advertising
addthis.com,11.230000,4.360000,2.390000,advertising
fbcdn.net,9.310000,0.550000,0.370000,advertising
adnxs.com,8.840000,1.430000,1.960000,advertising
criteo.com,7.130000,1.320000,1.650000,advertising
scorecardresearch.com,6.830000,4.740000,18.490000,advertising
addthisedge.com,5.710000,0.000000,0.070000,advertising
quantserve.com,5.490000,14.930000,9.720000,advertising
adform.net,5.290000,0.000000,0.230000,advertising
