google-analytics.com,73.680000,54.620000,30.930000,site_analytics
wp.com,7.000000,22.520000,1.830000,site_analytics
newrelic.com,5.620000,1.020000,5.490000,site_analytics
akamaihd.net,5.190000,0.280000,1.880000,site_analytics
hotjar.com,4.980000,0.070000,0.550000,site_analytics
nr-data.net,4.930000,0.780000,4.000000,site_analytics
yahoo.com,3.390000,5.130000,8.670000,site_analytics
trustedshops.com,3.340000,0.000000,0.000000,site_analytics
optimizely.com,2.420000,0.080000,3.420000,site_analytics
adtech.de,2.380000,0.030000,1.710000,site_analytics
quantcount.com,2.370000,0.000000,0.000000,site_analytics
ioam.de,2.160000,0.010000,0.610000,site_analytics
w.org,1.790000,34.370000,1.330000,site_analytics
exactag.com,1.600000,0.000000,0.030000,site_analytics
etracker.com,1.600000,0.070000,0.000000,site_analytics
