20150317022644,alive,
20150401091419,alive,
20150503215743,alive,
20150612144904,alive,
20150708013454,alive,
20150808175656,alive,
20150902020525,alive,
20151007034703,alive,
20151104035330,alive,
20151206012220,alive,
20160102201703,alive,
20160205025400,alive,
20160301102317,alive,
20160401200327,alive,
20160708211115,alive,
20160818042928,alive,
20160918123817,alive,
20161002103702,alive,
20161108214931,alive,
20161207050739,alive,
20170116211259,alive,
20170201175809,alive,
20170302125203,alive,
20170416172814,alive,
20170523091534,alive,
20170603210058,alive,
20170719023416,alive,
20170801063415,alive,
20170904173302,alive,
20171004001517,alive,
20171102042414,alive,
20171201042020,alive,
20180101050943,alive,
20180201011242,alive,
20180301042116,alive,
20180406135132,alive,
20180501225852,alive,
20180611152005,alive,
20180701080018,alive,
20180810122126,alive,
20180904175514,alive,
20181108152837,alive,
20181205235020,alive,
20190109223055,alive,
20190330105158,alive,
20190501024536,alive,"from this page, and on, pages redirected indefinitely. Had to visit wayback"
20190601005409,alive,
20190701170931,alive,
20190801171747,alive,
20190901170915,alive,
20191001031438,alive,
20191101031608,alive,
20191201031739,alive,
20200101031325,alive,
20200201034019,alive,
20200303034739,alive,
